label1,label2,label1,label2,sentence,filename,sentid
,,5-,,Zonde van je tijd en je geld .,output_part00017.sents.gz,6606_1.p.1.s.4
,,,,Ik vraag me af waarom de auteur hiervoor gekozen heeft .,output_part00061.sents.gz,21212_1.p.3.s.3
,,,,Gevoelens van pure haat die bovendien in een dag omslaan naar innige verlangens .,output_part00017.sents.gz,12098_1.p.4.s.2
2,,2+,,De ingrediënten waren zo veelbelovend .,output_part00017.sents.gz,8836_1.p.2.s.1
2-,,2-,,"Geen best uitgangspunt , volgende keer toch maar van tevoren een plot opstellen en uitdenken .",output_part00021.sents.gz,9230_1.p.5.s.3
5-,,4-,,Het nodigt er niet toe uit om het boek te kopen of lezen .,output_part00016.sents.gz,4960_1.p.2.s.5
1-,,1-,2-,Ik veronderstel dat het gewoon niet mijn favoriete schrijfstijl is ; ik hou van boeken waarbij de aktie vrij snel begint en ik vond dat in dit boek niet echt het geval .,output_part00005.sents.gz,10188_1.p.1.s.4
2-,,2,,Ondanks het ongelofelijk pijnlijke en persoonlijke onderwerp blijft het vlak .,output_part00025.sents.gz,18344_1.p.2.s.4
2-,,2-,,Hiernaast is de plot ( hoe Osewoudt wordt meegezogen in het wereldje van Dorbeck ) maar weinig aansprekend en al helemaal niet geloofwaardig .,output_part00025.sents.gz,12402_1.p.1.s.6
2-,3,2-,3,"De eerste helft wordt opgevuld met een totaal irrelevant verhaal , waarin het vooral de bedoeling is ( veronderstel ik ) om de hoofdpersonages en hun interesses ( vooral whisky en tango ) breed uit te smeren .",output_part00001.sents.gz,328_1.p.1.s.2
1,,1,,Ook de opbouw van het boek lijkt veel op die van Dans van Schaduwen .,output_part00021.sents.gz,10016_1.p.1.s.19
4+,,4+,,De tekst op de achterkand van het boek trok mijn aandacht nog meer .,output_part00004.sents.gz,13162_1.p.1.s.3
,,,,Ook akkoord met zijn recensie .,output_part00008.sents.gz,4352_1.p.1.s.4
5-,,,,Ik heb het uitgelezen omdat ik wilde weten waar al die goede recensies voor waren maar ik heb het er niet in kunnen ontdekken .,output_part00004.sents.gz,12214_1.p.4.s.4
5-,,5-,,"Voor de leesclub dit boek gelezen ook al had ik me niet opgegeven , ik ontving toch het boek en besloot dan toch maar mee te lezen , misschien zou ik aangenaam worden verrast , maar helaas dat is niet het geval .",output_part00016.sents.gz,5370_1.p.1.s.1
5-,,,,"Aangezien alles zo vergezocht is , voel je je als lezer nergens betrokken .",output_part00020.sents.gz,17928_1.p.1.s.11
5-,,5-,,Ik moest me dan ook met moeite door het boek heen worstelen .,output_part00012.sents.gz,15240_1.p.1.s.2
3,,3,,Er zijn ongelooflijk veel dialogen en de hoofdpersonages leer je feitelijk door de gesprekken heen kennen want ze worden niet behoorlijk geïntroduceerd .,output_part00023.sents.gz,11350_1.p.3.s.3
5-,,5-,,"Heel zelden komt het voor dat je een boek tegenkomt , dat je uit ergernis uit het raam zou willen smijten .",output_part00005.sents.gz,12434_1.p.1.s.1
5-,,5-,,"Het kon me niet boeien , vond het rommelig en warrig .",output_part00019.sents.gz,3232_1.p.1.s.2
,,,,"Sorry , niets van teruggevonden .",output_part00028.sents.gz,11036_1.p.1.s.4
5-,,5-,,De kangoeroekronieken heeft een wat rommelig geheel .,output_part00006.sents.gz,104_1.p.7.s.1
5,,,,Het boek Ik hou je in de gaten van Joy Fielding is vandaag aan de beurt en oei heb ik daar wat over te vertellen .,output_part00006.sents.gz,18710_1.p.2.s.2
,,,,Is dit wel door dezelfde mensen geschreven ?,output_part00027.sents.gz,2608_1.p.1.s.5
1+,3,,,"Dat is beter in elkaar gezet , geeft een eerlijker beeld en bovendien laten ze mensen aan het woord  ook gevangenen  die een zin kunnen uitspreken zonder vloek- , scheld- of schuttingwoorden .",output_part00009.sents.gz,6808_1.p.1.s.21
5+,,5+,,Het eerste hoofdstuk was erg leuk en beloofde veel leesplezier verder .,output_part00008.sents.gz,17326_1.p.3.s.2
,,,,Dan Brown is zijn hype voorbij,output_part00004.sents.gz,16044_1.p.1.s.6
3,2,,,"Hij lijkt mysterieus te willen zijn wanneer hij een vrouw verovert , maar diezelfde mysteries blijven niet alleen voor de betreffende vrouw onopgehelderd .",output_part00008.sents.gz,8868_1.p.1.s.14
5+,2,5+,,"Het boek leest wel heel goed weg , al is er vanaf het begin een lugubere ondertoon .",output_part00014.sents.gz,11770_1.p.1.s.2
,,,,Een beperkte selectie van journalisten maakt deel uit van de redactie en verzint onderwerpen om over te schrijven .,output_part00018.sents.gz,17570_1.p.1.s.4
,,,,"Richard Preston , broer van de ook in Nederland zeer populaire Douglas , mocht zich buigen over de vele aantekeningen die de altijd goed geïnformeerde Crichton bij het onvoltooide manuscript had gevoegd .",output_part00017.sents.gz,10984_1.p.1.s.4
